Starting Training Loop...
[14/20][350/434]	Loss_D: 1.0556	Loss_G: 6.1237	D(x): 0.9524	D(G(z)): 0.5608 / 0.0043
[14/20][400/434]	Loss_D: 0.5479	Loss_G: 2.9265	D(x): 0.8693	D(G(z)): 0.2758 / 0.0829
[15/20][0/434]	Loss_D: 2.0839	Loss_G: 0.8520	D(x): 0.1898	D(G(z)): 0.0052 / 0.5361
[15/20][50/434]	Loss_D: 0.2912	Loss_G: 3.8842	D(x): 0.8751	D(G(z)): 0.1313 / 0.0288
[15/20][100/434]	Loss_D: 0.8070	Loss_G: 5.3199	D(x): 0.9679	D(G(z)): 0.4686 / 0.0093
[15/20][150/434]	Loss_D: 1.1600	Loss_G: 1.3561	D(x): 0.4529	D(G(z)): 0.1239 / 0.3369
[15/20][200/434]	Loss_D: 0.5269	Loss_G: 3.2162	D(x): 0.7766	D(G(z)): 0.1652 / 0.0559
[15/20][250/434]	Loss_D: 1.0695	Loss_G: 7.0158	D(x): 0.9909	D(G(z)): 0.5678 / 0.0020
[15/20][300/434]	Loss_D: 0.4279	Loss_G: 3.1513	D(x): 0.9357	D(G(z)): 0.2676 / 0.0595
[15/20][350/434]	Loss_D: 0.5739	Loss_G: 6.8904	D(x): 0.9558	D(G(z)): 0.3596 / 0.0016
[15/20][400/434]	Loss_D: 0.2866	Loss_G: 3.5798	D(x): 0.9211	D(G(z)): 0.1612 / 0.0444
[16/20][0/434]	Loss_D: 0.8427	Loss_G: 8.3957	D(x): 0.9715	D(G(z)): 0.4597 / 0.0005
[16/20][50/434]	Loss_D: 0.3727	Loss_G: 3.0680	D(x): 0.8667	D(G(z)): 0.1796 / 0.0718
[16/20][100/434]	Loss_D: 0.8361	Loss_G: 3.4748	D(x): 0.5354	D(G(z)): 0.0142 / 0.0625
[16/20][150/434]	Loss_D: 1.0172	Loss_G: 2.5754	D(x): 0.4525	D(G(z)): 0.0016 / 0.1392
[16/20][200/434]	Loss_D: 0.5674	Loss_G: 2.3697	D(x): 0.7292	D(G(z)): 0.1546 / 0.1390
[16/20][250/434]	Loss_D: 0.6200	Loss_G: 3.1080	D(x): 0.6198	D(G(z)): 0.0153 / 0.1091
[16/20][300/434]	Loss_D: 0.5219	Loss_G: 2.6157	D(x): 0.6752	D(G(z)): 0.0358 / 0.1365
[16/20][350/434]	Loss_D: 0.3213	Loss_G: 4.4728	D(x): 0.9470	D(G(z)): 0.2052 / 0.0173
